center,left,right,steering,throttle,brake,speed
IMG/center_2021_02_12_10_14_26_980.jpg,IMG/left_2021_02_12_10_14_26_980.jpg,IMG/right_2021_02_12_10_14_26_980.jpg,0,0,0,1.61E-05
IMG/center_2021_02_12_10_14_27_078.jpg,IMG/left_2021_02_12_10_14_27_078.jpg,IMG/right_2021_02_12_10_14_27_078.jpg,0,0.2971404,0,0.2480879
IMG/center_2021_02_12_10_14_27_161.jpg,IMG/left_2021_02_12_10_14_27_161.jpg,IMG/right_2021_02_12_10_14_27_161.jpg,0,0.534438,0,0.6754853
IMG/center_2021_02_12_10_14_27_249.jpg,IMG/left_2021_02_12_10_14_27_249.jpg,IMG/right_2021_02_12_10_14_27_249.jpg,0,0.8004147,0,1.480959
IMG/center_2021_02_12_10_14_27_340.jpg,IMG/left_2021_02_12_10_14_27_340.jpg,IMG/right_2021_02_12_10_14_27_340.jpg,0,1,0,2.358711
IMG/center_2021_02_12_10_14_27_421.jpg,IMG/left_2021_02_12_10_14_27_421.jpg,IMG/right_2021_02_12_10_14_27_421.jpg,0,1,0,3.52316
IMG/center_2021_02_12_10_14_27_517.jpg,IMG/left_2021_02_12_10_14_27_517.jpg,IMG/right_2021_02_12_10_14_27_517.jpg,-0.1,1,0,4.460955
IMG/center_2021_02_12_10_14_27_607.jpg,IMG/left_2021_02_12_10_14_27_607.jpg,IMG/right_2021_02_12_10_14_27_607.jpg,-0.35,1,0,5.603044
IMG/center_2021_02_12_10_14_27_694.jpg,IMG/left_2021_02_12_10_14_27_694.jpg,IMG/right_2021_02_12_10_14_27_694.jpg,-0.5500001,1,0,6.488728
IMG/center_2021_02_12_10_14_27_785.jpg,IMG/left_2021_02_12_10_14_27_785.jpg,IMG/right_2021_02_12_10_14_27_785.jpg,-0.8000001,1,0,7.550683
IMG/center_2021_02_12_10_14_27_872.jpg,IMG/left_2021_02_12_10_14_27_872.jpg,IMG/right_2021_02_12_10_14_27_872.jpg,0,1,0,8.369104
IMG/center_2021_02_12_10_14_27_962.jpg,IMG/left_2021_02_12_10_14_27_962.jpg,IMG/right_2021_02_12_10_14_27_962.jpg,0,1,0,9.485817
IMG/center_2021_02_12_10_14_28_173.jpg,IMG/left_2021_02_12_10_14_28_173.jpg,IMG/right_2021_02_12_10_14_28_173.jpg,-0.5000001,1,0,11.71289
IMG/center_2021_02_12_10_14_28_260.jpg,IMG/left_2021_02_12_10_14_28_260.jpg,IMG/right_2021_02_12_10_14_28_260.jpg,0,1,0,12.60056
IMG/center_2021_02_12_10_14_28_330.jpg,IMG/left_2021_02_12_10_14_28_330.jpg,IMG/right_2021_02_12_10_14_28_330.jpg,0,1,0,13.2456
IMG/center_2021_02_12_10_14_28_434.jpg,IMG/left_2021_02_12_10_14_28_434.jpg,IMG/right_2021_02_12_10_14_28_434.jpg,-0.15,1,0,14.33762
IMG/center_2021_02_12_10_14_28_517.jpg,IMG/left_2021_02_12_10_14_28_517.jpg,IMG/right_2021_02_12_10_14_28_517.jpg,-0.35,1,0,15.13868
IMG/center_2021_02_12_10_14_28_608.jpg,IMG/left_2021_02_12_10_14_28_608.jpg,IMG/right_2021_02_12_10_14_28_608.jpg,0,1,0,16.267
IMG/center_2021_02_12_10_14_28_697.jpg,IMG/left_2021_02_12_10_14_28_697.jpg,IMG/right_2021_02_12_10_14_28_697.jpg,0,1,0,17.09337
IMG/center_2021_02_12_10_14_28_788.jpg,IMG/left_2021_02_12_10_14_28_788.jpg,IMG/right_2021_02_12_10_14_28_788.jpg,-0.25,1,0,18.0872
IMG/center_2021_02_12_10_14_28_876.jpg,IMG/left_2021_02_12_10_14_28_876.jpg,IMG/right_2021_02_12_10_14_28_876.jpg,-0.45,1,0,18.83837
IMG/center_2021_02_12_10_14_28_963.jpg,IMG/left_2021_02_12_10_14_28_963.jpg,IMG/right_2021_02_12_10_14_28_963.jpg,-0.7,1,0,19.68379
IMG/center_2021_02_12_10_14_29_054.jpg,IMG/left_2021_02_12_10_14_29_054.jpg,IMG/right_2021_02_12_10_14_29_054.jpg,0,1,0,20.4307
